Model,R2,RMSE,MAE
RandomForest,-0.12384924763887484,0.020762408522359874,0.013939333075446874
XGBoost,0.011402062954308345,0.0194730308705088,0.012598150819372773
GradientBoosting,-0.08985424055576674,0.020445979055699275,0.013694326533739434
LightGBM,-0.45066706174589655,0.023588893929479073,0.017328258854793784
