timestamp,Open,High,Low,Close,prediction
2025-02-27 21:00:00,2255.38,2283.33,2229.15,2281.47,0.009303039496882689
2025-02-27 22:00:00,2281.47,2292.72,2264.09,2291.45,0.00957801055599033
2025-02-27 23:00:00,2291.45,2310.46,2281.96,2306.51,0.006050414575804906
2025-02-28 00:00:00,2306.51,2313.24,2293.61,2293.92,0.006859580571673826
2025-02-28 01:00:00,2293.92,2299.78,2179.78,2193.03,0.00832205765352839
2025-02-28 02:00:00,2193.03,2224.82,2122.31,2165.93,0.009945560032771287
2025-02-28 03:00:00,2165.93,2193.77,2136.0,2146.11,0.009876817236142763
2025-02-28 04:00:00,2146.11,2155.25,2093.4,2135.7,0.00876270016551409
2025-02-28 05:00:00,2135.7,2139.83,2098.08,2130.64,0.0066633118001120945
2025-02-28 06:00:00,2130.64,2142.0,2075.0,2108.17,-0.0008127815208240058
2025-02-28 07:00:00,2108.17,2134.94,2087.06,2104.89,0.006152945168132551
2025-02-28 08:00:00,2104.89,2123.67,2074.43,2119.0,0.010561811496983492
2025-02-28 09:00:00,2119.0,2151.04,2114.34,2142.46,0.013767868515398076
2025-02-28 10:00:00,2142.46,2145.42,2110.98,2115.76,0.005488830296128518
2025-02-28 11:00:00,2115.76,2141.81,2115.76,2125.14,0.0027007443114919617
2025-02-28 12:00:00,2125.14,2138.57,2103.88,2119.45,0.005546188615415038
2025-02-28 13:00:00,2119.45,2163.25,2115.71,2150.51,-0.006437659659242705
2025-02-28 14:00:00,2150.51,2189.0,2137.79,2165.79,0.01274885031200337
2025-02-28 15:00:00,2165.79,2227.51,2163.17,2221.67,0.013543787699972562
2025-02-28 16:00:00,2221.67,2245.02,2205.55,2221.8,0.0131663047768789
2025-02-28 17:00:00,2221.8,2240.0,2207.49,2208.75,0.01359649862205708
2025-02-28 18:00:00,2208.75,2254.53,2192.56,2227.28,0.007346580963182445
2025-02-28 19:00:00,2227.28,2237.76,2219.98,2229.18,0.00882790721708641
2025-02-28 20:00:00,2229.18,2237.0,2198.0,2216.0,0.011623545187718656
2025-02-28 21:00:00,2216.0,2233.63,2208.96,2224.29,0.01014623411019333
2025-02-28 22:00:00,2224.29,2231.13,2208.47,2215.4,0.009854165545698668
2025-02-28 23:00:00,2215.4,2238.73,2212.3,2235.94,0.013911018296671792
