timestamp,open,high,low,close,volume
2024-04-16 00:00:00,3099.52,3105.0,3057.67,3079.84,92824.08
2024-04-16 01:00:00,3079.84,3118.85,3070.77,3077.12,63513.86
2024-04-16 02:00:00,3077.12,3097.29,3047.81,3091.98,55061.28
2024-04-16 03:00:00,3091.98,3105.63,3053.49,3070.11,65000.11
2024-04-16 04:00:00,3070.11,3077.49,2986.0,3023.52,103522.57
2024-04-16 05:00:00,3023.52,3056.84,3015.63,3045.15,89840.3
2024-04-16 06:00:00,3045.15,3085.64,3040.75,3080.02,102816.41
2024-04-16 07:00:00,3080.02,3125.35,3075.01,3104.99,104066.09
2024-04-16 08:00:00,3104.99,3109.24,3074.54,3082.58,68101.96
2024-04-16 09:00:00,3082.58,3101.43,3070.91,3077.76,58437.97
2024-04-16 10:00:00,3077.76,3088.72,2998.05,3049.03,112140.37
2024-04-16 11:00:00,3049.03,3098.0,3042.69,3091.2,106554.2
2024-04-16 12:00:00,3091.2,3091.21,3061.54,3072.65,104812.69
2024-04-16 13:00:00,3072.65,3093.94,3035.92,3064.56,71378.18
2024-04-16 14:00:00,3064.56,3091.0,3034.32,3040.53,89253.84
2024-04-16 15:00:00,3040.53,3053.17,3005.76,3007.07,107111.71
2024-04-16 16:00:00,3007.07,3058.46,2991.28,3056.29,90874.09
2024-04-16 17:00:00,3056.29,3083.01,3029.59,3041.3,88498.63
2024-04-16 18:00:00,3041.3,3075.25,3033.33,3071.76,78663.73
2024-04-16 19:00:00,3071.76,3076.0,3052.1,3054.82,69107.71
2024-04-16 20:00:00,3054.82,3070.05,3048.34,3068.34,67069.96
2024-04-16 21:00:00,3068.34,3116.84,3065.95,3100.0,92739.61
2024-04-16 22:00:00,3100.0,3102.58,3075.78,3091.4,71881.46
2024-04-16 23:00:00,3091.4,3093.63,3076.78,3081.75,88860.74
2024-04-17 00:00:00,3081.75,3105.23,3074.31,3092.74,64587.28
2024-04-17 01:00:00,3092.74,3094.66,3065.58,3088.84,80513.4
2024-04-17 02:00:00,3088.84,3098.84,3070.25,3082.96,64287.7
2024-04-17 03:00:00,3082.96,3094.19,3079.26,3093.07,93250.48
2024-04-17 04:00:00,3093.07,3121.65,3082.87,3110.19,60442.74
2024-04-17 05:00:00,3110.19,3117.71,3080.29,3086.84,70770.44
2024-04-17 06:00:00,3086.84,3096.59,3079.14,3088.88,83175.59
2024-04-17 07:00:00,3088.88,3092.0,3062.4,3073.73,98101.83
2024-04-17 08:00:00,3073.73,3085.84,3064.96,3070.9,81613.41
2024-04-17 09:00:00,3070.9,3085.5,3068.12,3077.39,52417.92
2024-04-17 10:00:00,3077.39,3078.28,3051.23,3056.91,51325.65
2024-04-17 11:00:00,3056.91,3070.67,3034.08,3037.79,59006.33
2024-04-17 12:00:00,3037.79,3048.28,3012.66,3029.11,59935.08
2024-04-17 13:00:00,3029.11,3061.62,3021.92,3040.7,91931.26
2024-04-17 14:00:00,3040.7,3041.61,2940.38,2979.71,182790.12
2024-04-17 15:00:00,2979.71,2991.52,2923.34,2944.52,125152.25
2024-04-17 16:00:00,2944.52,2996.93,2910.24,2949.17,126503.99
2024-04-17 17:00:00,2949.17,3006.0,2945.48,3000.45,75077.91
2024-04-17 18:00:00,3000.45,3041.97,2995.04,3024.57,75740.49
2024-04-17 19:00:00,3024.57,3024.86,2980.85,2999.69,67980.02
2024-04-17 20:00:00,2999.69,3010.12,2961.63,2969.81,73972.86
2024-04-17 21:00:00,2969.81,3013.61,2969.81,2996.31,64146.86
2024-04-17 22:00:00,2996.31,3007.09,2984.26,3006.64,51501.12
2024-04-17 23:00:00,3006.64,3012.43,2974.45,2982.65,92585.0
2024-04-18 00:00:00,2982.65,2995.97,2951.21,2990.87,94451.78
2024-04-18 01:00:00,2990.87,3009.74,2985.46,3001.7,63115.59
2024-04-18 02:00:00,3001.7,3013.1,2988.65,3009.43,63298.09
2024-04-18 03:00:00,3009.43,3034.0,3009.43,3023.31,59275.21
2024-04-18 04:00:00,3023.31,3032.76,3005.55,3011.88,86281.6
2024-04-18 05:00:00,3011.88,3019.74,2974.35,2981.2,88845.46
2024-04-18 06:00:00,2981.2,2989.47,2954.0,2970.79,65151.7
2024-04-18 07:00:00,2970.79,2985.71,2959.59,2972.57,46767.35
2024-04-18 08:00:00,2972.57,2990.41,2951.0,2982.76,58438.58
2024-04-18 09:00:00,2982.76,3009.03,2980.51,3004.94,62468.23
2024-04-18 10:00:00,3004.94,3013.34,2995.19,3008.78,98679.93
2024-04-18 11:00:00,3008.78,3063.52,3008.78,3043.93,96837.3
2024-04-18 12:00:00,3043.93,3050.17,2982.42,3023.16,96024.68
2024-04-18 13:00:00,3023.16,3048.96,3006.01,3047.33,109873.26
2024-04-18 14:00:00,3047.33,3090.88,3033.56,3077.99,101112.49
2024-04-18 15:00:00,3077.99,3092.7,3053.85,3065.85,89772.83
2024-04-18 16:00:00,3065.85,3081.21,3053.1,3059.35,39916.5
2024-04-18 17:00:00,3059.35,3066.85,3030.1,3035.26,42781.43
2024-04-18 18:00:00,3035.26,3056.2,3015.72,3050.02,74993.18
2024-04-18 19:00:00,3050.02,3065.0,3047.37,3063.0,68999.21
2024-04-18 20:00:00,3063.0,3073.5,3056.73,3065.68,49820.41
2024-04-18 21:00:00,3065.68,3072.87,3057.8,3063.63,71942.99
2024-04-18 22:00:00,3063.63,3078.8,3053.17,3068.16,42109.77
2024-04-18 23:00:00,3068.16,3075.75,3057.91,3061.76,70750.13
2024-04-19 00:00:00,3061.76,3068.32,3037.64,3038.97,89130.6
2024-04-19 01:00:00,3038.97,3042.4,2924.24,2939.0,125156.43
2024-04-19 02:00:00,2939.0,2947.04,2861.67,2940.88,149042.94
2024-04-19 03:00:00,2940.88,2998.83,2933.47,2977.75,105423.36
2024-04-19 04:00:00,2977.75,3023.08,2976.66,3003.93,76286.44
2024-04-19 05:00:00,3003.93,3015.88,2981.02,2999.36,54130.87
2024-04-19 06:00:00,2999.36,3108.36,2987.27,3102.68,87534.04
2024-04-19 07:00:00,3102.68,3128.62,3067.41,3082.62,112567.84
2024-04-19 08:00:00,3082.62,3123.25,3074.35,3109.83,105348.2
2024-04-19 09:00:00,3109.83,3116.64,3090.52,3100.44,55906.49
2024-04-19 10:00:00,3100.44,3115.59,3079.52,3096.13,79847.17
2024-04-19 11:00:00,3096.13,3117.52,3089.35,3100.18,96711.79
2024-04-19 12:00:00,3100.18,3119.47,3087.91,3097.7,81852.88
2024-04-19 13:00:00,3097.7,3106.07,3077.59,3096.26,118265.61
2024-04-19 14:00:00,3096.26,3101.16,3051.91,3077.43,107008.94
2024-04-19 15:00:00,3077.43,3092.22,3072.38,3078.22,69160.8
2024-04-19 16:00:00,3078.22,3084.8,3042.32,3063.5,84439.67
2024-04-19 17:00:00,3063.5,3091.61,3055.2,3078.24,65842.36
2024-04-19 18:00:00,3078.24,3083.31,3068.07,3074.09,72566.8
2024-04-19 19:00:00,3074.09,3106.36,3071.13,3101.92,81906.97
2024-04-19 20:00:00,3101.92,3102.44,3068.44,3076.08,68284.34
2024-04-19 21:00:00,3076.08,3100.34,3076.08,3098.17,67126.4
2024-04-19 22:00:00,3098.17,3104.11,3066.91,3067.21,63624.45
2024-04-19 23:00:00,3067.21,3070.76,3017.34,3054.16,83844.88
2024-04-20 00:00:00,3054.16,3069.09,3021.82,3029.03,111952.54
2024-04-20 01:00:00,3029.03,3055.86,3015.71,3049.31,119410.96
2024-04-20 02:00:00,3049.31,3063.81,3043.3,3051.59,91460.44
2024-04-20 03:00:00,3051.59,3056.73,3047.51,3053.51,63507.15
2024-04-20 04:00:00,3053.51,3065.0,3047.0,3062.31,88050.42
2024-04-20 05:00:00,3062.31,3071.72,3054.8,3060.88,86471.75
2024-04-20 06:00:00,3060.88,3068.7,3051.58,3062.68,62340.77
2024-04-20 07:00:00,3062.68,3069.0,3056.01,3058.01,89738.08
2024-04-20 08:00:00,3058.01,3059.23,3042.25,3046.85,56013.18
2024-04-20 09:00:00,3046.85,3049.52,3027.15,3041.62,84369.49
2024-04-20 10:00:00,3041.62,3047.7,3028.46,3035.52,79720.03
2024-04-20 11:00:00,3035.52,3052.89,3035.03,3044.85,75859.91
2024-04-20 12:00:00,3044.85,3066.44,3037.49,3057.25,75284.62
2024-04-20 13:00:00,3057.25,3068.0,3056.21,3059.47,54858.64
2024-04-20 14:00:00,3059.47,3066.81,3051.53,3063.33,82537.43
2024-04-20 15:00:00,3063.33,3113.15,3054.0,3107.58,71004.65
2024-04-20 16:00:00,3107.58,3114.85,3085.28,3096.84,86072.67
2024-04-20 17:00:00,3096.84,3164.61,3096.77,3152.35,82503.32
2024-04-20 18:00:00,3152.35,3159.88,3130.73,3136.89,72249.12
2024-04-20 19:00:00,3136.89,3148.82,3127.53,3145.9,54750.69
2024-04-20 20:00:00,3145.9,3170.52,3142.64,3154.26,47090.35
2024-04-20 21:00:00,3154.26,3160.55,3141.91,3150.55,48993.46
2024-04-20 22:00:00,3150.55,3154.36,3138.66,3138.88,90297.67
2024-04-20 23:00:00,3138.88,3160.58,3138.47,3153.23,88906.56
2024-04-21 00:00:00,3153.23,3153.99,3124.13,3133.52,75417.27
