Model,R2,RMSE,MAE
RandomForest,-1.0292481811634069,0.028163304235237177,0.022595007752357146
XGBoost,0.020160963497668938,0.01957011568028452,0.012820449969945484
GradientBoosting,-0.0700865751911326,0.020451514847709712,0.013470380552087996
LightGBM,-0.601699465375922,0.025021108105178717,0.01887513119372567
