Model,R2,RMSE,MAE
RandomForest,-0.0028672092552202155,0.010688827224761444,0.007437453323493155
XGBoost,-0.0010119494229945403,0.01067893571992213,0.007431212826067791
GradientBoosting,-0.007978473666887975,0.010716031218794084,0.007451021046148101
LightGBM,-0.013605181795914856,0.010745898954052105,0.007504357159292318
