timestamp,tx_hash,from,to,eth,usd,direction,tag
2025-04-08 12:24:56,0x1415f39bf7be0da6f5e5e84f8b5f30a9b0412f17fa092be228e768d763286028,0x28c6c06298d514db089934071355e5743bf21d60,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,7412.02,11683344,Unknown,?
2025-04-08 12:24:56,0x48c63a457d516963e1571d5070d1f4ab928909c474930fe02b8800c0b4c3d1de,0x112c5698e6ce9ab30ad4654de9005c2481f3e333,0x28c6c06298d514db089934071355e5743bf21d60,3000.00,4728809,Unknown,?
2025-04-08 12:24:56,0x3210470ec9d82ea3857801f911a7acb8c86fd38cd7e9ef1329dcf45362fc084f,0x28c6c06298d514db089934071355e5743bf21d60,0x9696f59e4d72e237be84ffd425dcad154bf96976,4615.24,7274872,Unknown,?
2025-04-08 12:24:56,0xc14714532d3b37468b5c5b3836d77315fe4cd925813da64ad091df11ec207f1d,0x08dc8ffc2db71ea07537d1328b3be0799b604396,0x28c6c06298d514db089934071355e5743bf21d60,1450.74,2286758,Unknown,?
2025-04-08 12:24:57,0xed622a50262b073ca17458ae1a978802e884a54d578c3fe626ab761ebabc8321,0xf27e6b48403894fccb4927165dc9d2b499684a0a,0x28c6c06298d514db089934071355e5743bf21d60,1800.00,2837284,Unknown,?
2025-04-08 12:24:57,0xb0947b1ca5a648e4c64f5178600bc56a783b368a6fdfcbc505e5df4dffecf7ab,0xcde5d48fca07f9c52300d2e65632dd71ed169b90,0x28c6c06298d514db089934071355e5743bf21d60,19131.60,30156566,Unknown,?
2025-04-08 12:24:57,0x8581cb921c28b38b5427307b3b31c15b9aad7f7ae88c649a891ad55631c043ed,0x28c6c06298d514db089934071355e5743bf21d60,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,4285.07,6754423,Unknown,?
2025-04-08 12:24:57,0xce3a71ee71f66f62dd5f461c94348992b333d7d49a7bf369b239b10e2d653200,0x28c6c06298d514db089934071355e5743bf21d60,0xacb7027f271b03b502d65feba617a0d817d62b8e,975.43,1537549,Unknown,?
2025-04-08 12:24:57,0x3ac77b74a51d445d746daae59d475e94887f0875c0b39d94e7fca023c0e7db9e,0xed89da9dd83a0d703991ee833969489278b260e7,0x28c6c06298d514db089934071355e5743bf21d60,2692.88,4244706,Unknown,?
2025-04-08 12:24:57,0xd9b46416a7c69348d98dde27c2dc9915a02e8c6d3f1114874c449855bd8dfdb8,0x28c6c06298d514db089934071355e5743bf21d60,0x4cb33d80b2355e9ae963be47afb6cc62d1220d00,694.96,1095444,Unknown,?
2025-04-08 12:24:57,0x490ae0e8f45898adb1554692c0276438b026faaac533530f6998c7594ddc4214,0x3112befcc5a0df1c3b2c3da7033e3a0e97c6d938,0x28c6c06298d514db089934071355e5743bf21d60,7499.99,11822004,Unknown,?
2025-04-08 12:24:58,0x8ab6bd31b59602d7d745cf74e2b5dc3a6a8d429c4a2e65df765012645644c4d6,0xeae7380dd4cef6fbd1144f49e4d1e6964258a4f4,0x28c6c06298d514db089934071355e5743bf21d60,4372.00,6891450,Unknown,?
2025-04-08 12:24:58,0x4bbdc6ec9621e0e6219bf001093823d1b90b93ca38eca507052af0d1ada723f7,0x3112befcc5a0df1c3b2c3da7033e3a0e97c6d938,0x28c6c06298d514db089934071355e5743bf21d60,2000.00,3152535,Unknown,?
2025-04-08 12:24:58,0x58b43e396da296921049843678fe060cb87056c187568732b6934765668086ef,0xe3dde4c065e2ddd2ba9c9499fb130d21ca02a44c,0x28c6c06298d514db089934071355e5743bf21d60,700.00,1103387,Unknown,?
2025-04-08 12:24:58,0xc001db3776d84709accd0b330947b6202002edb8493f3d6212739d1c0ebd3405,0x28c6c06298d514db089934071355e5743bf21d60,0x9696f59e4d72e237be84ffd425dcad154bf96976,4288.55,6759909,Unknown,?
