Model,R2,RMSE,MAE
RandomForest,-0.002113558162166962,0.010684810162351148,0.007428768959076357
XGBoost,-0.0011902454495811288,0.010679886721072538,0.0074307268035598345
GradientBoosting,-0.0020176291704427918,0.010684298739474957,0.007422689307940967
LightGBM,-0.25187165178513427,0.011942307346998745,0.00860227368070397
