Model,R2,RMSE,MAE
RandomForest,-0.0021984520829254617,0.010685262733923487,0.007428491628055101
XGBoost,-0.0013300433829845915,0.01068063232061496,0.007431242659218449
GradientBoosting,-0.0024809566241035252,0.010686768634547683,0.007434114868161685
LightGBM,-0.19211149177523135,0.011653779020090193,0.008227032562355203
